# luminosity_distance	mass_1	mass_2	ra	dec
3.993819247062318141e+02 1.194578679687951883e+01 7.999690076644740522e+00 2.274044014009989567e+00 6.972617855525518049e-01
3.689814174293512110e+02 1.103051906542715344e+01 8.687009281438813346e+00 2.052806377770583612e+00 1.170470746862390943e+00
3.944521777642844427e+02 1.080475939274092489e+01 8.834319758742477546e+00 2.224802938943747144e+00 6.561106041060826843e-01
4.291156955383178229e+02 1.065580460824366682e+01 8.918680822383645790e+00 2.213087161015444781e+00 8.444848219191976035e-01
3.681744742933374255e+02 1.184648356386956891e+01 8.088887726437679504e+00 2.147764431017608722e+00 5.003166368694574873e-01
4.217632967947859015e+02 1.378747231366657644e+01 7.088674560443066319e+00 1.876947156642702730e+00 1.197782447571952957e+00
3.804434315496233125e+02 1.261399658178067895e+01 7.614206650848582392e+00 1.932516502300300143e+00 1.185992656535844070e+00
3.051005736124699297e+02 1.183791962439174128e+01 8.075684969524800749e+00 2.095651082816413435e+00 3.565982929602312668e-01
2.441623601665330909e+02 1.330772359882849365e+01 7.280084719037796859e+00 1.536526625916891042e+00 1.288458502260277916e+00
3.788955321177799647e+02 1.987425705183339275e+01 5.261316624034432010e+00 2.114551488471875462e+00 5.172006454781399309e-01
3.642889338501763632e+02 1.161053551307846909e+01 8.184066150604323298e+00 1.660168873424629155e+00 1.262293568078039385e+00
4.660615651030257709e+02 1.075882586497115945e+01 8.913935232242254258e+00 2.247538799921401154e+00 9.508061482624190486e-01
2.357493822222097890e+02 1.219203949738208337e+01 7.772709557912704348e+00 1.020059374354721271e+00 1.281832479083934384e+00
3.395484776520914352e+02 1.022626601502904542e+01 9.294778977697944811e+00 2.194658853483021144e+00 9.233094406759583261e-01
4.808908829795321935e+02 1.282960813049090909e+01 7.537383706448143705e+00 2.066266073238511414e+00 1.191577330563656112e+00
1.967784010693117409e+02 1.679987214607972135e+01 5.985946452675154461e+00 2.063597558253165598e+00 3.177737715327902945e-01
3.687081519833659513e+02 1.048507602863339905e+01 9.066927968880731825e+00 2.178396075788787023e+00 5.473766344889615665e-01
2.012904672480655393e+02 1.312914457892396491e+01 7.389561601040054661e+00 2.101572734122184372e+00 4.262569079412583672e-01
2.354848023315733201e+02 1.530487739406858516e+01 6.425047425650231681e+00 1.873894954743400287e+00 2.564309479179811002e-01
3.655704655430690195e+02 1.005218372006897987e+01 9.466506233849175445e+00 2.162092664434317246e+00 6.270220140018720745e-01
3.994085756391278892e+02 1.312555728718433024e+01 7.429849232564817108e+00 2.106882846309493740e+00 4.344617769500619953e-01
3.493896934811579058e+02 1.036895999665100376e+01 9.243398420285844352e+00 2.121447654319176479e+00 3.933300089827945767e-01
3.297399679302586151e+02 1.894564710666120533e+01 5.452820740215763351e+00 2.172402672473386698e+00 4.769387253284004813e-01
4.922610951594484732e+02 1.180348783474535068e+01 8.127488587578104884e+00 2.146132413274693729e+00 1.035660857857009232e+00
3.717982804008853464e+02 1.202977248719064818e+01 7.928688406903249941e+00 2.162327431995888727e+00 5.764611506531592822e-01
3.970295264058319162e+02 1.217146680227244815e+01 7.815139492630650331e+00 2.193877959794732213e+00 1.092978280647375788e+00
3.014686341076265421e+02 1.027902341305382983e+01 9.207797696932274789e+00 2.124480288062739142e+00 3.751540503445925379e-01
2.580055924912587670e+02 1.027416550792393934e+01 9.164486686200740806e+00 1.907095969330138807e+00 1.886801846417265338e-01
2.780945692108473395e+02 1.149622120570525752e+01 8.253812841612282014e+00 1.965392127938849320e+00 2.120381946281881258e-01
3.614518351216074734e+02 1.208803710033966716e+01 7.970447425064563163e+00 1.786396929679801460e+00 1.176827994019433943e+00
3.186956252525898208e+02 1.134322190677571562e+01 8.341160008231272016e+00 2.181109781201882925e+00 6.003970279709996971e-01
4.334933056577490333e+02 1.050077167972920478e+01 9.087026052134817178e+00 2.218098261223754086e+00 9.105052669359535722e-01
4.477815197691518279e+02 9.962497184897106450e+00 9.590907229892160046e+00 2.237924881701333746e+00 8.480135465980987997e-01
4.569824350156245032e+02 1.121019687516747432e+01 8.571248167859010891e+00 2.166716907654104851e+00 1.003566631336680448e+00
3.236258178571409303e+02 1.599583636556875810e+01 6.248503420152893284e+00 2.176118087939073575e+00 5.888138934028510629e-01
2.380875650810422997e+02 1.488642706483321376e+01 6.627876139432011371e+00 4.013282921478076304e-01 1.220325450461545280e+00
3.013335693114892138e+02 1.470974513011714180e+01 6.655974929081365232e+00 2.031557951878435464e+00 2.313871761263048554e-01
3.137159640649589392e+02 1.294632946460398237e+01 7.393116619855391924e+00 2.149706192622308887e+00 5.464582761263443444e-01
3.191660472671553634e+02 1.337450010928137800e+01 7.219872903066243630e+00 2.092691137213876118e+00 3.710513635051055359e-01
3.295138393939631669e+02 9.730555882506109810e+00 9.710862947488738683e+00 1.684578970949697663e+00 1.258423265051875406e+00
2.413957967894844217e+02 1.156443884497598518e+01 8.228485228658907857e+00 2.093763541426009400e+00 3.577035610039381863e-01
3.433656375869205135e+02 1.515462651251983495e+01 6.564856190586742635e+00 2.162499728752431238e+00 4.622597780731085848e-01
2.673247355697504304e+02 1.124501300699461837e+01 8.463546191963903453e+00 1.926479279534669242e+00 1.689717026648771547e-01
2.040927678243046728e+02 1.403537052049867739e+01 6.899980408729981640e+00 2.008054243344640000e+00 1.736804233966427469e-01
2.448235795425755157e+02 1.230053128346700220e+01 7.832312007427634448e+00 2.196974302436168536e+00 7.627250973478940654e-01
3.162698176954199880e+02 1.569282009797507094e+01 6.356684204829256224e+00 2.175721980518819265e+00 9.500915646317594776e-01
3.501898336504473832e+02 1.221721657093152125e+01 7.821645656857114659e+00 2.246981615094686191e+00 8.936765385060905231e-01
